,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
429,Cybersecurity Capstone Project,ce_101469,https://www.coursera.org/learn/cyber-security-capstone,Jennifer Golbeck,4.3,158.0,4.0,2,9680,WEEK 1: CAPSTONE OVERVIEW AND SETUP WEEK 2-3: DEVELOPMENT OF PROJECT SYSTEM WEEK 4-5: EVALUATION OF OTHER TEAM'S SYSTEMS Week 6: Evaluation Feedback 
430,Tencent Cloud Solutions Architect Professional,ce_101470,https://www.coursera.org/learn/tencent-cloud-solutions-architect-professional,Anthony Siu,4.2,11.0,11.0,3,0,Microservices Cloud Computing Devops Tencent Cloud Cloud Native Enterprise Cloud Cloud Migration Cloud Native Application Design Building High-Availability Architecture Handling Traffic Peaks Information Security Big Data Applications Hybrid Cloud AI Solutions Gaming Solutions Video Solutions Architecture Design Practices Final Quiz
431,Big Data Analysis Deep Dive,ce_101471,https://www.coursera.org/learn/big-data-analysis-deep-dive,Jeremy Pedersen,4.6,27.0,14.0,2,1722,Big Data Big Data Transmission Big Data Visualisation Python Structured Data Processing Quick Start SQL for Beginners - Basic Queries How to Use Spark on Cloud Series 2 - Spark Python Alibaba Cloud Big Data Quickstart Series: Data Integration Alibaba Cloud MaxCompute - Data Transmission Analyze Log Data with Alibaba Cloud Big Data Platform Data Development with DataWorks and MaxCompute Using Hive and Hadoop on E-MapReduce Using Spark on E-MapReduce Quickly Generate Business Intelligence Diagrams With QuickBI Quickly Generate Large Dashboards For Data Visualization Data Visualization Using Python
432,Seluk Beluk Jaringan Komputer,ce_101472,https://www.coursera.org/learn/seluk-beluk-jaringan-komputer,Google Career Certificates,4.9,1400.0,35.0,1,18155,Ipv4 Pemecahan Masalah Domain Name System (DNS) Model Jaringan Pengantar Jaringan Lapisan Jaringan Komputer Lapisan Transpor dan Aplikasi Layanan Jaringan Terhubung dengan Internet Pemecahan Masalah dan Masa Depan Jaringan
433,IntroducciÃ³n al desarrollo de back-end,ce_101473,https://www.coursera.org/learn/introduction-to-back-end-development-es,Taught by Meta Staff,4.9,23.0,18.0,1,0,"Distinguir entre desarrolladores de front-end, back-end y full-stack. Crear y diseÃ±ar una pÃ¡gina web con HTML y CSS. Ventajas de trabajar con marcos de IU. IntroducciÃ³n al desarrollo web IntroducciÃ³n a HTML y CSS Marcos de interfaz de usuario EvaluaciÃ³n calificada de final del curso"
434,HTML y CSS en detalle,ce_101474,https://www.coursera.org/learn/html-and-css-in-depth-es,Taught by Meta Staff,4.3,7.0,28.0,1,0,Crear un formulario sencillo con un diseÃ±o responsivo con HTML5 y CSS Crear un diseÃ±o responsivo con CSS Crear una interfaz de usuario mediante Bootstrap Implementar herramientas de depuraciÃ³n HTML en detalle CSS interactivo EvaluaciÃ³n calificada
435,Conceptos bÃ¡sicos de React,ce_101475,https://www.coursera.org/learn/react-basics-es,Taught by Meta Staff,,,26.0,1,0,"Utilizar componentes reutilizables para representar vistas donde los datos cambian a lo largo del tiempo Organizar proyectos React para crear sitios web y aplicaciones mÃ¡s escalables y que se puedan mantener Utilizar props para transferir datos entre componentes. Crear aplicaciones y pÃ¡ginas web dinÃ¡micas e interactivas Utilizar formularios para que los usuarios puedan interactuar con la aplicaciÃ³n. Crear una aplicaciÃ³n en React Componentes React Datos y estado NavegaciÃ³n, actualizaciÃ³n y recursos en React.js Su primera aplicaciÃ³n React"
436,IntroducciÃ³n al desarrollo de apps mÃ³viles para Android,ce_101476,https://www.coursera.org/learn/introduction-to-android-mobile-application-development-es,Taught by Meta Staff,,,11.0,1,0,"Definir los conceptos fundamentales del desarrollo de aplicaciones Android Configurar y explorar la interfaz de Android Studio, las configuraciones y las herramientas integradas Utilizar Kotlin Playground Crear una aplicaciÃ³n sencilla para Android IntroducciÃ³n al desarrollo de aplicaciones mÃ³viles para Android EmulaciÃ³n y desarrollo Crear la aplicaciÃ³n"
437,IntroducciÃ³n a la programaciÃ³n en Kotlin,ce_101477,https://www.coursera.org/learn/meta-programming-fundamentals-kotlin-es,Taught by Meta Staff,,,24.0,1,0,"Practicar la construcciÃ³n y el uso de funciones Practicar los diferentes tipos de comparaciones usando operadores Usar Kotlin para resolver un desafÃ­o de codificaciÃ³n Repasar y aplicar los aspectos fundamentales de la programaciÃ³n IntroducciÃ³n a la programaciÃ³n en Kotlin Funciones, clases y objetos Clases avanzadas, nulabilidad y colecciones EvaluaciÃ³n calificada"
438,ProgramaciÃ³n avanzada en Kotlin,ce_101478,https://www.coursera.org/learn/advanced-programming-in-kotlin-es,Taught by Meta Staff,,,20.0,2,0, Implementar una aplicaciÃ³n Android con una Actividad.  Implementar funciones avanzadas orientadas a objetos en Android.  Usar simulacros y falsificaciones para realizar pruebas unitarias en Android. Utilizar una expresiÃ³n Lambda para definir una funciÃ³n como un objeto y mÃ©todos de procesamiento de colecciones para el procesamiento de varios pasos Kotlin y Android CaracterÃ­sticas avanzadas orientadas a objetos ProgramaciÃ³n funcional Proyecto final
439,ï»¿Building RESTful APIs Using Node.js and Express,ce_101479,https://www.coursera.org/learn/building-restful-apis-using-nodejs-and-express,NIIT,4.1,18.0,16.0,0,3398,Build and document REST APIs using Vanilla and Express.js. Secure the REST API using JWT and Oauth Vanilla JS Express JS Swagger Express Router Representational State Transfer (REST) Documenting and Building REST API's using Vanilla Node.js Building REST API's using ExpressJS Securing REST API's using JSON Web Tokens and Oauth
440,Cyber Security in Manufacturing  ,ce_101480,https://www.coursera.org/learn/cyber-security-manufacturing,Shambhu Upadhyaya,4.7,592.0,21.0,1,17950,Introduction to Digital Manufacturing Security Guidance on Securing Digital Manufacturing Operations Protecting Operational Technologies and Intellectual Property Breach Response
441,Developing Cloud Native Applications,ce_101481,https://www.coursera.org/learn/developing-cloud-native-applications,Upkar Lidder,4.1,262.0,17.0,2,19567,"Describe Cloud Native and DevOps concepts and methodologies Build and deploy code toÂ Cloud using DevOps practices, and CI/CD tools  Create a Node.js application on IBM Cloud Use REST APIs in your app to store and retrieve data in a NoSQL Cloudant Database   Json Git (Software) Cloud Infrastructure Devops NoSQL  Introduction to Cloud Native Getting Started with IBM Cloud IBM Cloud CLI DevOps on IBM Cloud REST Architecture and Watson API Introduction to Data Services in IBM Cloud Final Project"
442,Software Testing for Developers,ce_101482,https://www.coursera.org/learn/codio-software-testing-for-developers,Patrick Ester,4.2,9.0,9.0,1,1900,Create tests with Jest Test UIs with Selenium and Cucumber Use testing tools like Postman and JMeter Software Testing JavaScript Testing Basics Integration Testing End-to-End (E2E) Testing
443,Linux Basics: The Command Line Interface - 6,ce_101483,https://www.coursera.org/learn/linux-basics-the-command-line-interface,RÃ©mi SHARROCK,4.7,23.0,7.0,1,3687,"Use basic commands to control the Linux Operating System Navigate and manipulate the Linux Filesystem using the command line interface Manage the memory and processes running on Linux.  Compile and execute a C program in Linux Computer Programming Command-Line Interface Linux Welcome Week 1: History of Linux and the command line Week 2: The Linux file system Week 3: C program compilation with gcc Concluding the course"
444,Spring - Cloud Overview,ce_101484,https://www.coursera.org/learn/spring-cloud-overview,Derek Parsons,4.3,48.0,9.0,2,4947,"Spring Cloud Load Balancing Microservices Netflix OSS Service Discovery Spring Cloud Overview Service Discovery, Circuit Breakers and Clients"
445,Data Manipulation in JavaScript,ce_101485,https://www.coursera.org/learn/javascript-data-manipulation,William Mead,4.8,55.0,18.0,1,5990,Getting Started & Collecting and Validating Data From Users A Deeper Dive Into JavaScript Seat Reservation Program Working with Data Asynchronously in JavaScript
446,Android Architecture/Multimedia Framework,ce_101486,https://www.coursera.org/learn/android-architecturemultimedia-framework,Board Infinity,,,14.0,2,0,"Delve into Android's intricate architecture, understanding its layers, components, and the pivotal role of the Linux kernel. Master Android's multimedia frameworks, from media playback and capture to advanced audio and video techniques for captivating user experiences. Harness the power of the Camera2 API, MediaRecorder, and advanced multimedia customization techniques to create rich media applications. Optimize multimedia applications for performance, battery efficiency, and explore the latest trends and future possibilities in Android multimedia. Multimedia Frameworks Android Runtime (ART) Knowledge Android Architecture Camera2 API Android System Services Interaction Android Architecture Overview Introduction to Android Multimedia Framework Multimedia Capture and Customization Optimization and Advanced Topics"
447,Building a Complete MEAN Stack Application,ce_101487,https://www.coursera.org/learn/building-a-complete-mean-stack-application,Board Infinity,4.2,10.0,9.0,2,0,"Design scalable backends with MEAN stack; learn authentication, authorization, security, and handling large users and requests.   Develop a single-page application using AngularJS, including views, controllers, services, routing, forms, and dynamic views.  Create a responsive frontend using AngularJS, HTML, CSS; learn to connect the frontend with the backend API through HTTP requests.  Learn to deploy the complete MEAN stack application, including production environment setup, configuration, and performance monitoring.  Node.Js Mongodb Express JS Angularjs Representational State Transfer (REST) Designing Backend for Real-World Application Creating Frontend & Connecting with Backend"
448,API Development,ce_101488,https://www.coursera.org/learn/codio-api-development,Sharon Jason,,,10.0,2,0,Accessing web APIs Creating a simple web server Authentication. JavaScript Cloud API API Protocols HTTP Servers Best Practices for Web APIs
449,Learn Tailwind CSS,ce_101489,https://www.coursera.org/learn/learn-tailwind-css,Per Harald Borgen,,,3.0,2,0,You'll build an Employee Card from scratch. Build a landing page for this course as your capstone project. Responsive Web Design Web Design Web Development Css Frameworks Cascading Style Sheets (CSS) Learn Tailwind CSS
450,AWS: Containerization,ce_101490,https://www.coursera.org/learn/aws-containerization,Whizlabs Instructor,,,5.0,2,0, Integrate AWS CloudWatch and Pipeline with Amazon ECS.  Explore container orachestration concept in AWS.  Understand  AWS App2Container service in AWS.   ecr ECS eks App2Container Containers in AWS Container Orchestration in AWS Modernizing web applications (AWS App2Container)
451,Nursing Informatics Leadership Theory and Practice,ce_101491,https://www.coursera.org/learn/nursing-informatics-leaders,"Daniel J. Pesut, Ph.D., RN, FAAN",4.7,45.0,18.0,1,2467,"Evaluate effective leadership styles for leadership in nursing informatics in clinical or academic contexts to improve your leadership success Discover core values that support effective nursing informatics leadership in academic and clinical contexts to inform development of a personal leadership mission statement, and development plan Discover competing values and polarities related to knowledge leadership and management to promote successful leadership collaboration Reflect on results from the Minnesota Nursing Informatics Leadership Inventory (MNLI) to inform successful leadership development and practice Discuss the value and importance of foresight leadership in nursing informatics to anticipate trends and consequences that are likely to transform the learning health care system"
452,Select Topics in Python: Django,ce_101492,https://www.coursera.org/learn/codio-select-topics-python-django,Patrick Ester,4.9,9.0,7.0,2,0,Styling with Bootstrap Django's MVT framework Deploying Django Django (Web Framework) Python Programming Beginner Django Project Movie Reviews Production Django
453,React avanzado,ce_101493,https://www.coursera.org/learn/advanced-react-es,Taught by Meta Staff,,,26.0,2,0,Cree componentes robustos y reutilizables con tÃ©cnicas avanzadas y aprenda diferentes patrones para reutilizar comportamientos comunes InteractÃºe con un servidor remoto y obtenga y publique datos a travÃ©s de una API Pruebe aplicaciones React sin problemas con React Testing Library Integre bibliotecas React de uso comÃºn para agilizar el desarrollo de su aplicaciÃ³n Componentes Enlaces de React y enlaces personalizados JSX y pruebas Proyecto final
454,App Design and Development for iOS,ce_101494,https://www.coursera.org/learn/ios-app-design-development,Parham Aarabi,4.1,269.0,9.0,0,25366,Persistence iOS App Development Core Data User Interface Welcome to App Design and Development for iOS User Interactivity Multiple View Controllers & Navigation Persistence & Networking Introduction to developing for watchOS 2 Introduction to Developing for tvOS Peer Assessment
